priority,source_file_path,file_type,reason,recommended_action,safe_to_auto_process,needs_human_review
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Oncosys-OVA Sample collection Vacations_.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/16.02.2026_KRAS_21_ EXP1_Sectioning_Order__tcycif.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2024_Sectioning orders/19.1.2024_Sectioning_order_4_Cellcycleproject_.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2024_Sectioning orders/2024_12_13_TLS_7__Sectioning_orde_.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2024_Sectioning orders/2024_12_19_EyeMT_9_with_TLS_7_GeoMxslides_Sectioning_Order .xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2024_Sectioning orders/2024_2_19_TLS_7_sectioning_Order_Zhihan_.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2024_Sectioning orders/2024_3_26_SPACE_12_Sectioning order .xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2024_Sectioning orders/7.12.2024_EyeMT_9-TLS_7pair sectioning.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2025_Sectioning Orders/ 28.10.2025_4_Cellcycleproject_Exp11_H&E_order_.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2025_Sectioning Orders/1.9.2025_MESENCHYMAL_27_EXP1_Sectioning_Order.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2025_Sectioning Orders/11.11.2025_SPACE_12_ EXP2_Sectioning_Order__tcycif.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2025_Sectioning Orders/27.8.2025_CELL_CYCLE_4_EXP09_Sectioning_Order_Prestaining for xenium.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2025_Sectioning Orders/8.12.2025_TLS_7_EXP05_Sectioning_Order_tcycif.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/2025_Sectioning Orders/8.9.2025_CELL_CYCLE_4_ EXP10_Sectioning_Order_expansion_tcycif.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Orders for slides and sections/H&E of sldies after tCyCIF/H&E_CycIF_Slides_12SPACE_10092024.xlsx,.xlsx,not_started,extract_text,True,False
